,date,open,high,low,close,volume
13735,2023-07-13 16:35:00+00:00,30770.33,30831.39,30767.36,30822.99,404.40644
13736,2023-07-13 16:40:00+00:00,30823.0,30844.6,30772.36,30791.79,297.28483
13737,2023-07-13 16:45:00+00:00,30791.79,30812.39,30758.62,30807.17,332.65315
13738,2023-07-13 16:50:00+00:00,30807.17,30903.0,30807.17,30823.41,422.30777
13739,2023-07-13 16:55:00+00:00,30823.4,30849.06,30794.14,30826.46,351.21824
13740,2023-07-13 17:00:00+00:00,30826.47,30884.14,30815.05,30852.01,425.97097
13741,2023-07-13 17:05:00+00:00,30852.0,30890.0,30790.0,30804.75,417.5335
13742,2023-07-13 17:10:00+00:00,30804.75,30841.82,30797.99,30839.99,299.25892
13743,2023-07-13 17:15:00+00:00,30839.99,30844.05,30802.61,30809.32,144.02638
13744,2023-07-13 17:20:00+00:00,30809.33,30890.0,30809.32,30890.0,289.30318
13745,2023-07-13 17:25:00+00:00,30890.0,30920.0,30868.97,30888.01,267.29004
13746,2023-07-13 17:30:00+00:00,30888.01,30966.25,30865.54,30942.42,374.41138
13747,2023-07-13 17:35:00+00:00,30942.43,31125.0,30912.34,31074.6,940.56133
13748,2023-07-13 17:40:00+00:00,31074.61,31149.99,30970.0,31130.78,1860.66002
13749,2023-07-13 17:45:00+00:00,31130.79,31200.0,31083.99,31112.95,1319.26461
13750,2023-07-13 17:50:00+00:00,31112.96,31144.08,31066.9,31112.0,1024.53733
13751,2023-07-13 17:55:00+00:00,31111.99,31155.04,31066.64,31070.08,431.4534
13752,2023-07-13 18:00:00+00:00,31070.08,31146.85,31056.08,31142.05,525.15756
13753,2023-07-13 18:05:00+00:00,31142.04,31326.42,31103.66,31278.52,1411.59812
13754,2023-07-13 18:10:00+00:00,31278.51,31450.0,31262.0,31389.15,1476.4713
13755,2023-07-13 18:15:00+00:00,31389.14,31452.91,31254.53,31308.66,1145.98708
13756,2023-07-13 18:20:00+00:00,31308.67,31479.99,31277.39,31381.39,868.91963
13757,2023-07-13 18:25:00+00:00,31381.4,31430.0,31232.55,31272.05,646.73302
13758,2023-07-13 18:30:00+00:00,31272.04,31280.0,31100.02,31177.2,776.81173
13759,2023-07-13 18:35:00+00:00,31177.2,31298.03,31131.25,31265.36,731.23652
13760,2023-07-13 18:40:00+00:00,31265.37,31300.0,31206.46,31244.8,272.33117
13761,2023-07-13 18:45:00+00:00,31244.79,31300.0,31126.68,31176.5,418.73898
13762,2023-07-13 18:50:00+00:00,31176.5,31250.0,31170.96,31224.48,277.22524
13763,2023-07-13 18:55:00+00:00,31224.48,31292.65,31224.48,31255.0,563.2787
13764,2023-07-13 19:00:00+00:00,31255.01,31298.65,31245.72,31279.98,288.65336
13765,2023-07-13 19:05:00+00:00,31279.99,31376.85,31279.98,31367.53,548.92238
13766,2023-07-13 19:10:00+00:00,31367.54,31406.0,31318.67,31395.26,369.51707
13767,2023-07-13 19:15:00+00:00,31395.26,31397.13,31332.3,31379.07,291.12341
13768,2023-07-13 19:20:00+00:00,31379.06,31459.03,31364.49,31459.02,512.17814
13769,2023-07-13 19:25:00+00:00,31459.02,31750.0,31451.38,31670.0,3118.28549
13770,2023-07-13 19:30:00+00:00,31670.01,31804.2,31632.0,31673.66,1387.68208
13771,2023-07-13 19:35:00+00:00,31673.65,31759.02,31667.14,31710.95,820.73339
13772,2023-07-13 19:40:00+00:00,31710.94,31750.0,31665.26,31672.95,553.10534
13773,2023-07-13 19:45:00+00:00,31672.95,31711.65,31507.77,31537.99,655.52154
13774,2023-07-13 19:50:00+00:00,31537.99,31653.63,31510.01,31600.0,379.05987
13775,2023-07-13 19:55:00+00:00,31600.0,31637.54,31550.82,31606.01,368.35891
13776,2023-07-13 20:00:00+00:00,31606.0,31691.46,31577.5,31674.3,372.67168
13777,2023-07-13 20:05:00+00:00,31674.31,31689.7,31557.7,31570.97,422.26435
13778,2023-07-13 20:10:00+00:00,31570.97,31575.99,31522.0,31546.36,258.74846
13779,2023-07-13 20:15:00+00:00,31546.35,31603.29,31534.68,31572.98,386.84862
13780,2023-07-13 20:20:00+00:00,31572.98,31605.0,31536.09,31552.14,206.46138
13781,2023-07-13 20:25:00+00:00,31552.14,31579.58,31552.13,31562.65,106.74718
13782,2023-07-13 20:30:00+00:00,31562.64,31562.65,31407.99,31437.38,462.27939
13783,2023-07-13 20:35:00+00:00,31437.38,31489.9,31392.38,31468.25,390.53665
